id,short_code,name,classification,type,size,color,description_main,description_extra,manufacturer,part_number
food_bakery_bread_multigrain_brown_bloomer_jackson,,Food Bakery Bread Multigrain Brown Bloomer Jackson,food,bakery,,,bread,multigrain_brown_bloomer,jackson,
food_bakery_tortilla_wrap_soft,,Food Bakery Tortilla Wrap Soft,food,bakery,,,tortilla_wrap,soft,,
food_baking_flour_white,w,Food Baking Flour White,food,baking,flour,white,,,,
food_baking_sugar_caster,,Food Baking Sugar Caster,food,baking,sugar,caster,,,,
food_baking_sugar_granulated,,Food Baking Sugar Granulated,food,baking,sugar,granulated,,,,
food_baking_sugar_icing,,Food Baking Sugar ICing,food,baking,sugar,icing,,,,
food_baking_sugar_light_brown,,Food Baking Sugar Light Brown,food,baking,sugar,light_brown,,,,
food_baking_sugar_muscavado,,Food Baking Sugar Muscavado,food,baking,sugar,muscavado,,,,
food_bean_chickpea_tin_400_gram,,Food Bean Chickpea Tin 400 Gram,food,bean,,,chickpea,tin_400_gram,,
food_bean_kidney_bean_tin_400_gram,,Food Bean Kidney Bean Tin 400 Gram,food,bean,,,kidney_bean,tin_400_gram,,
food_bean_refried_bean_tin_435_gram_elpaso,,Food Bean Refried Bean Tin 435 Gram Elpaso,food,bean,,,refried_bean,tin_435_gram,elpaso,
food_condiment_jam_apricot_jar_370_gram_bonne_maman,,Food Condiment Jam Apricot Jar 370 Gram Bonne Maman,food,condiment,,jam,apricot,jar_370_gram,bonne_maman,
food_condiment_jam_marmalade_jar_370_gram_bonne_maman,,Food Condiment Jam Marmalade Jar 370 Gram Bonne Maman,food,condiment,,jam,marmalade,jar_370_gram,bonne_maman,
food_condiment_jam_raspberry_jar_370_gram_bonne_maman,,Food Condiment Jam Raspberry Jar 370 Gram Bonne Maman,food,condiment,,jam,raspberry,jar_370_gram,bonne_maman,
food_condiment_jam_strawberry_jar_370_gram_bonne_maman,,Food Condiment Jam Strawberry Jar 370 Gram Bonne Maman,food,condiment,,jam,strawberry,jar_370_gram,bonne_maman,
food_condiment_salad_dressing_ranch_bottle_250_ml_newmans_own,,Food Condiment Salad Dressing Ranch Bottle 250 Ml Newmans Own,food,condiment,,salad_dressing,ranch,bottle_250_ml,newmans_own,
food_condiment_savoury_ketchup_bottle_squeeze_910_gram_heinz,,Food Condiment Savoury Ketchup Bottle Squeeze 910 Gram Heinz,food,condiment,,savoury,ketchup,bottle_squeeze_910_gram,heinz,
food_condiment_savoury_salsa_green_jar_240_gram_herdez,,Food Condiment Savoury Salsa Green Jar 240 Gram Herdez,food,condiment,,savoury,salsa_green,jar_240_gram,herdez,
food_condiment_savoury_salsa_red_jar_240_gram_herdez,,Food Condiment Savoury Salsa Red Jar 240 Gram Herdez,food,condiment,,savoury,salsa_red,jar_240_gram,herdez,
food_dairy_2000_ml_milk_semi_skim_filtered_cravendale,,Food Dairy 2000 Ml Milk Semi Skim Filtered Cravendale,food,dairy,2000_ml,,milk_semi_skim,filtered,cravendale,
food_dairy_cheese_mature_cheddar_cathedral_city,,Food Dairy Cheese Mature Cheddar Cathedral City,food,dairy,,,cheese,mature_cheddar,cathedral_city,
food_dairy_eggs_large_free_range_six,,Food Dairy Eggs Large Free Range Six,food,dairy,,,eggs,large_free_range_six,,
food_drink_coffee_ground_filter_classic_tin_250_gram_illy,,Food Drink Coffee Ground Filter Classic Tin 250 Gram Illy,food,drink,coffee,ground_filter,classic,tin_250_gram,illy,
food_drink_coffee_instant_espresso_jar_95_gram_nescafe,,Food Drink Coffee Instant Espresso Jar 95 Gram Nescafe,food,drink,coffee,instant,espresso,jar_95_gram,nescafe,
food_fruit_apple_pink_lady,,Food Fruit Apple Pink Lady,food,fruit,,,apple,pink_lady,,
food_fruit_bunch_banana,,Food Fruit Bunch Banana,food,fruit,bunch,,banana,,,
