id,short_code,name,type,description_main,description_only_numbers1151M390060,part_number_distributor_orbital_fasteners,webpage_distributor_orbital_fasteners,part_number_manufacturer_metalmate,webpage_manufacturer_metalmate,price_current,name_manufacturer_metalmate
food_bakery_bread_multigrain_brown_bloomer_jackson,,Food Bakery Bread Multigrain Brown Bloomer Jackson,bakery,bread,,,,,,,
food_bakery_tortilla_wrap_soft,,Food Bakery Tortilla Wrap Soft,bakery,tortilla_wrap,,,,,,,
food_baking_flour_white,w,Food Baking Flour White,baking,,,,,,,,
food_baking_sugar_caster,,Food Baking Sugar Caster,baking,,,,,,,,
food_baking_sugar_granulated,,Food Baking Sugar Granulated,baking,,,,,,,,
food_baking_sugar_icing,,Food Baking Sugar ICing,baking,,,,,,,,
food_baking_sugar_light_brown,,Food Baking Sugar Light Brown,baking,,,,,,,,
food_baking_sugar_muscavado,,Food Baking Sugar Muscavado,baking,,,,,,,,
food_bean_chickpea_tin_400_gram,,Food Bean Chickpea Tin 400 Gram,bean,chickpea,,,,,,,
food_bean_kidney_bean_tin_400_gram,,Food Bean Kidney Bean Tin 400 Gram,bean,kidney_bean,,,,,,,
food_bean_refried_bean_tin_435_gram_elpaso,,Food Bean Refried Bean Tin 435 Gram Elpaso,bean,refried_bean,,,,,,,
food_condiment_jam_apricot_jar_370_gram_bonne_maman,,Food Condiment Jam Apricot Jar 370 Gram Bonne Maman,condiment,apricot,,,,,,,
food_condiment_jam_marmalade_jar_370_gram_bonne_maman,,Food Condiment Jam Marmalade Jar 370 Gram Bonne Maman,condiment,marmalade,,,,,,,
food_condiment_jam_raspberry_jar_370_gram_bonne_maman,,Food Condiment Jam Raspberry Jar 370 Gram Bonne Maman,condiment,raspberry,,,,,,,
food_condiment_jam_strawberry_jar_370_gram_bonne_maman,,Food Condiment Jam Strawberry Jar 370 Gram Bonne Maman,condiment,strawberry,,,,,,,
food_condiment_salad_dressing_ranch_bottle_250_ml_newmans_own,,Food Condiment Salad Dressing Ranch Bottle 250 Ml Newmans Own,condiment,ranch,,,,,,,
food_condiment_savoury_ketchup_bottle_squeeze_910_gram_heinz,,Food Condiment Savoury Ketchup Bottle Squeeze 910 Gram Heinz,condiment,ketchup,,,,,,,
food_condiment_savoury_salsa_green_jar_240_gram_herdez,,Food Condiment Savoury Salsa Green Jar 240 Gram Herdez,condiment,salsa_green,,,,,,,
food_condiment_savoury_salsa_red_jar_240_gram_herdez,,Food Condiment Savoury Salsa Red Jar 240 Gram Herdez,condiment,salsa_red,,,,,,,
food_dairy_2000_ml_milk_semi_skim_filtered_cravendale,,Food Dairy 2000 Ml Milk Semi Skim Filtered Cravendale,dairy,milk_semi_skim,,,,,,,
